"","non_event","classI","classII","undefined","nodata","nucleation","V8","Date"
"1",0,0,0,0,1,0,"",2017-12-02
"2",0,0,0,0,1,0,"",2017-12-03
"3",0,0,0,0,1,0,"",2017-12-04
"4",1,0,0,0,0,0,"",2017-12-05
"5",0,0,0,0,1,0,"",2017-12-06
"6",1,0,0,0,0,0,"",2017-12-07
"7",1,0,0,0,0,0,"",2017-12-08
"8",1,0,0,0,0,0,"",2017-12-09
"9",0,0,1,0,0,0,"",2017-12-10
"10",0,1,0,0,0,0,"",2017-12-11
"11",0,0,1,0,0,0,"",2017-12-12
"12",0,0,0,1,0,0,"",2017-12-13
"13",1,0,0,0,0,0,"",2017-12-14
"14",1,0,0,0,0,0,"",2017-12-15
"15",0,0,1,0,0,0,"",2017-12-16
"16",0,0,0,1,0,0,"",2017-12-17
"17",0,0,0,1,0,0,"",2017-12-18
"18",1,0,0,0,0,0,"",2017-12-19
"19",0,0,1,0,0,0,"",2017-12-20
"20",1,0,0,0,0,0,"",2017-12-21
"21",0,0,0,0,1,0,"",2017-12-22
"22",0,0,0,1,0,0,"",2017-12-23
"23",0,0,0,1,0,0,"",2017-12-24
"24",0,0,0,0,1,0,"",2017-12-25
"25",0,0,0,1,0,0,"",2017-12-26
"26",1,0,0,0,0,0,"",2017-12-27
"27",1,0,0,0,0,0,"",2017-12-28
"28",1,0,0,0,0,0,"",2017-12-29
"29",1,0,0,0,0,0,"",2017-12-30
"30",0,1,0,0,0,0,"*",2017-12-31
"31",0,0,1,0,0,0,"",2018-01-01
"32",0,0,1,0,0,0,"",2018-01-02
"33",1,0,0,0,0,0,"",2018-01-03
"34",0,1,0,0,1,0,"",2018-01-04
"35",0,0,0,0,1,0,"",2018-01-05
"36",0,0,0,0,0,1,"",2018-01-06
"37",1,0,0,0,0,0,"",2018-01-07
"38",1,0,0,0,0,1,"",2018-01-08
"39",0,0,0,1,0,1,"",2018-01-09
"40",0,0,0,0,1,0,"",2018-01-10
"41",0,0,0,0,1,0,"",2018-01-11
"42",0,0,0,0,1,0,"",2018-01-12
"43",1,0,0,0,0,0,"",2018-01-13
"44",1,0,0,0,0,0,"",2018-01-14
"45",1,0,0,0,0,0,"",2018-01-15
"46",1,0,0,0,0,0,"",2018-01-16
"47",1,0,0,0,0,1,"",2018-01-17
"48",1,0,0,0,0,1,"",2018-01-18
"49",1,0,0,0,0,1,"",2018-01-19
"50",1,0,0,0,0,0,"",2018-01-20
"51",1,0,0,0,0,1,"",2018-01-21
"52",1,0,0,0,0,1,"",2018-01-22
"53",1,0,0,0,0,1,"",2018-01-23
"54",0,0,0,0,1,0,"",2018-01-24
"55",1,0,0,0,0,1,"*",2018-01-25
"56",0,1,0,0,0,0,"",2018-01-26
"57",1,0,0,0,0,0,"",2018-01-27
"58",0,0,0,0,1,0,"",2018-01-28
"59",0,0,0,0,1,0,"",2018-01-29
"60",0,0,0,0,1,0,"",2018-01-30
"61",0,0,0,0,1,0,"",2018-01-31
"62",0,0,0,0,1,0,"",2018-02-01
"63",0,0,0,0,1,0,"",2018-02-02
"64",0,0,0,0,1,0,"",2018-02-03
"65",0,0,0,0,1,0,"",2018-02-04
"66",0,0,0,0,1,0,"",2018-02-05
"67",0,0,0,0,1,0,"",2018-02-06
"68",0,0,0,0,1,0,"",2018-02-07
"69",0,0,0,0,1,0,"",2018-02-08
"70",0,0,0,0,1,0,"",2018-02-09
"71",0,0,0,0,1,0,"",2018-02-10
"72",0,0,0,0,1,0,"",2018-02-11
"73",0,0,0,0,1,0,"",2018-02-12
