"","magnitude","value","numb","localTime"
"1","Ammonium",-0.0419,3,2018-03-01 13:00:00
"2","Chloride",9e-04,3,2018-03-01 13:00:00
"3","Nitrate",-0.0066,3,2018-03-01 13:00:00
"4","Organics",0.405,3,2018-03-01 13:00:00
"5","Sulfate",0.0123,3,2018-03-01 13:00:00
"6","Ammonium",0.0757,6,2018-03-01 14:00:00
"7","Chloride",0.00855,6,2018-03-01 14:00:00
"8","Nitrate",5e-04,6,2018-03-01 14:00:00
"9","Organics",-0.00495,6,2018-03-01 14:00:00
"10","Sulfate",0.016,6,2018-03-01 14:00:00
"11","Ammonium",0.0136,2,2018-03-01 15:00:00
"12","Chloride",3e-04,2,2018-03-01 15:00:00
"13","Nitrate",0.00175,2,2018-03-01 15:00:00
"14","Organics",0.0612,2,2018-03-01 15:00:00
"15","Sulfate",0.01705,2,2018-03-01 15:00:00
"16","Ammonium",0.01745,2,2018-03-01 16:00:00
"17","Chloride",0.00155,2,2018-03-01 16:00:00
"18","Nitrate",0.00905,2,2018-03-01 16:00:00
"19","Organics",0.1449,2,2018-03-01 16:00:00
"20","Sulfate",0.01295,2,2018-03-01 16:00:00
"21","Ammonium",-0.02625,2,2018-03-01 17:00:00
"22","Chloride",0.00105,2,2018-03-01 17:00:00
"23","Nitrate",0.006,2,2018-03-01 17:00:00
"24","Organics",0.12335,2,2018-03-01 17:00:00
"25","Sulfate",0.0181,2,2018-03-01 17:00:00
"26","Ammonium",0.00645,2,2018-03-01 18:00:00
"27","Chloride",-0.00175,2,2018-03-01 18:00:00
"28","Nitrate",0.008,2,2018-03-01 18:00:00
"29","Organics",0.08755,2,2018-03-01 18:00:00
"30","Sulfate",0.0234,2,2018-03-01 18:00:00
"31","Ammonium",0.0256,1,2018-03-01 19:00:00
"32","Chloride",-0.0017,1,2018-03-01 19:00:00
"33","Nitrate",0.0012,1,2018-03-01 19:00:00
"34","Organics",0.0734,1,2018-03-01 19:00:00
"35","Sulfate",0.0123,1,2018-03-01 19:00:00
"36","Ammonium",-0.0058,3,2018-03-01 20:00:00
"37","Chloride",-5e-04,3,2018-03-01 20:00:00
"38","Nitrate",0.0089,3,2018-03-01 20:00:00
"39","Organics",0.0908,3,2018-03-01 20:00:00
"40","Sulfate",0.0215,3,2018-03-01 20:00:00
"41","Ammonium",0.00675,2,2018-03-01 21:00:00
"42","Chloride",9e-04,2,2018-03-01 21:00:00
"43","Nitrate",0.0091,2,2018-03-01 21:00:00
"44","Organics",0.0992,2,2018-03-01 21:00:00
"45","Sulfate",0.0197,2,2018-03-01 21:00:00
"46","Ammonium",-0.0059,2,2018-03-01 22:00:00
"47","Chloride",7e-04,2,2018-03-01 22:00:00
"48","Nitrate",0.00495,2,2018-03-01 22:00:00
"49","Organics",0.05775,2,2018-03-01 22:00:00
"50","Sulfate",0.0202,2,2018-03-01 22:00:00
"51","Ammonium",-0.01125,2,2018-03-01 23:00:00
"52","Chloride",-4e-04,2,2018-03-01 23:00:00
"53","Nitrate",0.00185,2,2018-03-01 23:00:00
"54","Organics",0.11865,2,2018-03-01 23:00:00
"55","Sulfate",0.0274,2,2018-03-01 23:00:00
"56","Ammonium",0.0026,2,2018-03-10 00:00:00
"57","Chloride",-1e-04,2,2018-03-10 00:00:00
"58","Nitrate",-0.00325,2,2018-03-10 00:00:00
"59","Organics",-0.04415,2,2018-03-10 00:00:00
"60","Sulfate",0.0404,2,2018-03-10 00:00:00
"61","Ammonium",0.01935,2,2018-03-10 01:00:00
"62","Chloride",2e-04,2,2018-03-10 01:00:00
"63","Nitrate",0.0114,2,2018-03-10 01:00:00
"64","Organics",0.0233,2,2018-03-10 01:00:00
"65","Sulfate",0.04435,2,2018-03-10 01:00:00
"66","Ammonium",0.04215,2,2018-03-10 10:00:00
"67","Chloride",0.0011,2,2018-03-10 10:00:00
"68","Nitrate",-0.00035,2,2018-03-10 10:00:00
"69","Organics",-0.004,2,2018-03-10 10:00:00
"70","Sulfate",0.0454,2,2018-03-10 10:00:00
"71","Ammonium",0.0084,2,2018-03-10 11:00:00
"72","Chloride",2e-04,2,2018-03-10 11:00:00
"73","Nitrate",-0.00455,2,2018-03-10 11:00:00
"74","Organics",0.04035,2,2018-03-10 11:00:00
"75","Sulfate",0.05635,2,2018-03-10 11:00:00
"76","Ammonium",0.0015,2,2018-03-10 12:00:00
"77","Chloride",0.0027,2,2018-03-10 12:00:00
"78","Nitrate",0.0023,2,2018-03-10 12:00:00
"79","Organics",0.0785,2,2018-03-10 12:00:00
"80","Sulfate",0.07675,2,2018-03-10 12:00:00
"81","Ammonium",0.011,2,2018-03-10 13:00:00
"82","Chloride",0.0026,2,2018-03-10 13:00:00
"83","Nitrate",0.00385,2,2018-03-10 13:00:00
"84","Organics",0.06925,2,2018-03-10 13:00:00
"85","Sulfate",0.0779,2,2018-03-10 13:00:00
"86","Ammonium",-0.0174,2,2018-03-10 14:00:00
"87","Chloride",0.0022,2,2018-03-10 14:00:00
"88","Nitrate",0.0065,2,2018-03-10 14:00:00
"89","Organics",-0.02175,2,2018-03-10 14:00:00
"90","Sulfate",0.0745,2,2018-03-10 14:00:00
"91","Ammonium",0.02,2,2018-03-10 15:00:00
"92","Chloride",0.0011,2,2018-03-10 15:00:00
"93","Nitrate",-0.00335,2,2018-03-10 15:00:00
"94","Organics",0.08355,2,2018-03-10 15:00:00
"95","Sulfate",0.0501,2,2018-03-10 15:00:00
"96","Ammonium",-0.00955,2,2018-03-10 16:00:00
"97","Chloride",-0.0014,2,2018-03-10 16:00:00
"98","Nitrate",0.01035,2,2018-03-10 16:00:00
"99","Organics",-0.0781,2,2018-03-10 16:00:00
"100","Sulfate",0.0738,2,2018-03-10 16:00:00
"101","Ammonium",0.00185,2,2018-03-10 17:00:00
"102","Chloride",-0.0021,2,2018-03-10 17:00:00
"103","Nitrate",0.0099,2,2018-03-10 17:00:00
"104","Organics",0.04905,2,2018-03-10 17:00:00
"105","Sulfate",0.0376,2,2018-03-10 17:00:00
"106","Ammonium",0.0371,2,2018-03-10 18:00:00
"107","Chloride",0.00255,2,2018-03-10 18:00:00
"108","Nitrate",0.00115,2,2018-03-10 18:00:00
"109","Organics",0.0164,2,2018-03-10 18:00:00
"110","Sulfate",0.064,2,2018-03-10 18:00:00
"111","Ammonium",-0.00185,2,2018-03-10 19:00:00
"112","Chloride",-0.0054,2,2018-03-10 19:00:00
"113","Nitrate",0.00465,2,2018-03-10 19:00:00
"114","Organics",0.0476,2,2018-03-10 19:00:00
"115","Sulfate",0.04695,2,2018-03-10 19:00:00
"116","Ammonium",-0.0309,2,2018-03-10 02:00:00
"117","Chloride",-3e-04,2,2018-03-10 02:00:00
"118","Nitrate",0.0037,2,2018-03-10 02:00:00
"119","Organics",0.0741,2,2018-03-10 02:00:00
"120","Sulfate",0.0528,2,2018-03-10 02:00:00
"121","Ammonium",-0.0194,2,2018-03-10 20:00:00
"122","Chloride",0.00275,2,2018-03-10 20:00:00
"123","Nitrate",0.0036,2,2018-03-10 20:00:00
"124","Organics",-0.0638,2,2018-03-10 20:00:00
"125","Sulfate",0.0624,2,2018-03-10 20:00:00
"126","Ammonium",0.00875,2,2018-03-10 21:00:00
"127","Chloride",0.00095,2,2018-03-10 21:00:00
"128","Nitrate",-0.00235,2,2018-03-10 21:00:00
"129","Organics",0.00465,2,2018-03-10 21:00:00
"130","Sulfate",0.0582,2,2018-03-10 21:00:00
"131","Ammonium",0.0292,2,2018-03-10 22:00:00
"132","Chloride",0.00125,2,2018-03-10 22:00:00
"133","Nitrate",-0.0046,2,2018-03-10 22:00:00
"134","Organics",-0.02485,2,2018-03-10 22:00:00
"135","Sulfate",0.08925,2,2018-03-10 22:00:00
"136","Ammonium",0.0079,3,2018-03-10 23:00:00
"137","Chloride",0.0068,3,2018-03-10 23:00:00
"138","Nitrate",0.0057,3,2018-03-10 23:00:00
"139","Organics",0.0175,3,2018-03-10 23:00:00
"140","Sulfate",0.0361,3,2018-03-10 23:00:00
"141","Ammonium",0.0165,2,2018-03-10 03:00:00
"142","Chloride",-0.00215,2,2018-03-10 03:00:00
"143","Nitrate",-0.004,2,2018-03-10 03:00:00
"144","Organics",0.05925,2,2018-03-10 03:00:00
"145","Sulfate",0.0503,2,2018-03-10 03:00:00
"146","Ammonium",0.0024,2,2018-03-10 04:00:00
"147","Chloride",6e-04,2,2018-03-10 04:00:00
"148","Nitrate",0.0014,2,2018-03-10 04:00:00
"149","Organics",-0.00935,2,2018-03-10 04:00:00
"150","Sulfate",0.0479,2,2018-03-10 04:00:00
"151","Ammonium",-0.01325,2,2018-03-10 05:00:00
"152","Chloride",0.00195,2,2018-03-10 05:00:00
"153","Nitrate",0.00375,2,2018-03-10 05:00:00
"154","Organics",0.01445,2,2018-03-10 05:00:00
"155","Sulfate",0.04265,2,2018-03-10 05:00:00
"156","Ammonium",-0.02675,2,2018-03-10 06:00:00
"157","Chloride",0.00065,2,2018-03-10 06:00:00
"158","Nitrate",-0.00105,2,2018-03-10 06:00:00
"159","Organics",0.027,2,2018-03-10 06:00:00
"160","Sulfate",0.03875,2,2018-03-10 06:00:00
"161","Ammonium",0.0085,3,2018-03-10 07:00:00
"162","Chloride",8e-04,3,2018-03-10 07:00:00
"163","Nitrate",-0.0025,3,2018-03-10 07:00:00
"164","Organics",-0.0249,3,2018-03-10 07:00:00
"165","Sulfate",0.0332,3,2018-03-10 07:00:00
"166","Ammonium",-0.00165,2,2018-03-10 08:00:00
"167","Chloride",0.00165,2,2018-03-10 08:00:00
"168","Nitrate",0.00675,2,2018-03-10 08:00:00
"169","Organics",0.0783,2,2018-03-10 08:00:00
"170","Sulfate",0.05315,2,2018-03-10 08:00:00
"171","Ammonium",0.0531,2,2018-03-10 09:00:00
"172","Chloride",-0.0013,2,2018-03-10 09:00:00
"173","Nitrate",-0.00295,2,2018-03-10 09:00:00
"174","Organics",0.0113,2,2018-03-10 09:00:00
"175","Sulfate",0.0576,2,2018-03-10 09:00:00
"176","Ammonium",-0.0127,2,2018-03-11 00:00:00
"177","Chloride",-0.00085,2,2018-03-11 00:00:00
"178","Nitrate",0.00345,2,2018-03-11 00:00:00
"179","Organics",0.054,2,2018-03-11 00:00:00
"180","Sulfate",0.0442,2,2018-03-11 00:00:00
"181","Ammonium",-0.0195,2,2018-03-11 01:00:00
"182","Chloride",-0.0028,2,2018-03-11 01:00:00
"183","Nitrate",9e-04,2,2018-03-11 01:00:00
"184","Organics",0.0162,2,2018-03-11 01:00:00
"185","Sulfate",0.0349,2,2018-03-11 01:00:00
"186","Ammonium",0.007,2,2018-03-11 10:00:00
"187","Chloride",0.0012,2,2018-03-11 10:00:00
"188","Nitrate",0.01075,2,2018-03-11 10:00:00
"189","Organics",-0.0252,2,2018-03-11 10:00:00
"190","Sulfate",0.0207,2,2018-03-11 10:00:00
"191","Ammonium",0.0677,2,2018-03-11 11:00:00
"192","Chloride",0.0065,2,2018-03-11 11:00:00
"193","Nitrate",0.03065,2,2018-03-11 11:00:00
"194","Organics",0.05115,2,2018-03-11 11:00:00
"195","Sulfate",0.05275,2,2018-03-11 11:00:00
"196","Ammonium",-0.0021,2,2018-03-11 12:00:00
"197","Chloride",0.0044,2,2018-03-11 12:00:00
"198","Nitrate",0.0909,2,2018-03-11 12:00:00
"199","Organics",0.09055,2,2018-03-11 12:00:00
"200","Sulfate",0.0555,2,2018-03-11 12:00:00
"201","Ammonium",0.02755,2,2018-03-11 13:00:00
"202","Chloride",0.00565,2,2018-03-11 13:00:00
"203","Nitrate",0.0816,2,2018-03-11 13:00:00
"204","Organics",0.13995,2,2018-03-11 13:00:00
"205","Sulfate",0.05785,2,2018-03-11 13:00:00
"206","Ammonium",0.0318,2,2018-03-11 14:00:00
"207","Chloride",0.0025,2,2018-03-11 14:00:00
"208","Nitrate",0.0432,2,2018-03-11 14:00:00
"209","Organics",6e-04,2,2018-03-11 14:00:00
"210","Sulfate",0.0412,2,2018-03-11 14:00:00
"211","Ammonium",0.0207,3,2018-03-11 15:00:00
"212","Chloride",0.0013,3,2018-03-11 15:00:00
