"","YMD","dp_sizegroup","ion","GR_median","GR_mean","GR_sd","eventID","score_over_10","airmass_change_flag"
"1","2017-12-06","(3,7]","negative",4.04,4.57,1.4,"Neg1",1,2
"2","2017-12-06","(7,20]","negative",16.7,16.4,3.24,"Neg1",1,2
"3","2017-12-06","(7,20]","positive",21.2,21.2,0.265,"Pos1",1,2
"4","2017-12-06","(20,60]","negative",34,33.4,6.81,"Neg1",1,2
"5","2017-12-06","(20,60]","positive",22.8,22.7,0.464,"Pos1",1,2
"6","2017-12-10","[1,3]","negative",10.4,10.4,0.412,"Neg2",7,2
"7","2017-12-10","[1,3]","positive",13.4,13.4,0.528,"Pos2",8,2
"8","2017-12-10","(3,7]","negative",13,13,1.15,"Neg2",7,2
"9","2017-12-10","(3,7]","positive",17.3,17.4,1.83,"Pos2",8,2
"10","2017-12-10","(7,20]","negative",19.5,19.2,2.16,"Neg2",7,2
"11","2017-12-10","(7,20]","positive",-10.7,4.47,18.3,"Pos2",8,2
"12","2017-12-10","(20,60]","negative",22.3,22.2,0.261,"Neg2",7,2
"13","2017-12-10","(20,60]","positive",-3.2,-0.0292,10.3,"Pos2",8,2
"14","2017-12-11","[1,3]","positive",3.75,3.75,0.00469,"Pos3",8,2
"15","2017-12-11","(3,7]","positive",3.87,3.9,0.111,"Pos3",8,2
"16","2017-12-11","(7,20]","positive",5.49,5.57,0.963,"Pos3",8,2
"17","2017-12-11","(20,60]","positive",7.7,7.64,0.174,"Pos3",8,2
"18","2017-12-13","[1,3]","positive",4.47,4.46,0.0274,"Pos5",5,1
"19","2017-12-13","(3,7]","positive",2.67,2.96,0.68,"Pos5",5,1
"20","2017-12-13","(7,20]","positive",3.69,2.7,2.52,"Pos5",5,1
"21","2017-12-16","[1,3]","negative",17.5,17.5,0.00294,"Neg6",6,1
"22","2017-12-16","[1,3]","positive",3.81,5.93,5.18,"Pos6",6,1
"23","2017-12-16","(3,7]","negative",17.6,17.6,0.0302,"Neg6",6,1
"24","2017-12-16","(3,7]","positive",30.6,28.7,4.39,"Pos6",6,1
"25","2017-12-16","(7,20]","negative",17.6,17.6,0.00281,"Neg6",6,1
"26","2017-12-16","(7,20]","positive",31.4,31.5,0.596,"Pos6",6,1
"27","2017-12-20","[1,3]","negative",5.68,5.68,0.00835,"Neg7",5,1
"28","2017-12-20","[1,3]","positive",8.07,8.07,2.91e-05,"Pos7",6,1
"29","2017-12-20","(3,7]","negative",5.78,5.79,0.0598,"Neg7",5,1
"30","2017-12-20","(3,7]","positive",8.07,8.07,0.000523,"Pos7",6,1
"31","2017-12-20","(7,20]","negative",6.19,6.16,0.12,"Neg7",5,1
"32","2017-12-20","(7,20]","positive",8.08,8.08,0.00745,"Pos7",6,1
"33","2017-12-23","[1,3]","negative",0.663,0.663,1.84e-05,"Neg8",1,1
"34","2017-12-23","(7,20]","positive",-3.81,-3.81,0.0134,"Pos8",1,1
"35","2017-12-24","[1,3]","negative",3.73,3.73,0.00372,"Neg9",6,2
"36","2017-12-24","(3,7]","negative",3.85,3.89,0.14,"Neg9",6,2
"37","2017-12-24","(7,20]","negative",5.62,5.42,0.608,"Neg9",6,2
"38","2017-12-24","(7,20]","positive",7.02,7.02,0.00244,"Pos9",5,2
"39","2017-12-24","(20,60]","negative",6.07,6.07,0.00202,"Neg9",6,2
"40","2017-12-24","(20,60]","positive",7.01,7.01,0.000417,"Pos9",5,2
"41","2018-01-01","[1,3]","negative",2.93,2.93,0.0172,"Neg10",5,2
"42","2018-01-01","[1,3]","positive",2.55,2.55,0.0119,"Pos10",5,2
"43","2018-01-01","(3,7]","negative",3,3,0.0131,"Neg10",5,2
"44","2018-01-01","(3,7]","positive",2.68,2.65,0.0309,"Pos10",5,2
"45","2018-01-02","[1,3]","negative",19.5,19.5,0.0399,"Neg11",3,2
"46","2018-01-02","[1,3]","positive",0.939,1.03,0.535,"Pos11",3,2
"47","2018-01-02","(3,7]","negative",19.6,19.6,0.00843,"Neg11",3,2
"48","2018-01-02","(3,7]","positive",2.03,2.02,0.017,"Pos11",3,2
"49","2018-01-03","(7,20]","negative",1.06,1.07,0.00888,"Neg12",1,2
"50","2018-01-05","(3,7]","negative",3.74,3.74,0.011,"Neg13",2,2
"51","2018-01-05","(3,7]","positive",9.87,9.87,0.00293,"Pos13",2,2
"52","2018-01-05","(7,20]","negative",3.76,3.76,0.000896,"Neg13",2,2
