"","YMD","dp_sizegroup","ion","GR_median","GR_mean","GR_sd"
"1","2018-03-29","[1,3]","negative",7.09905070009279,7.10551459703676,0.0388079320718285
"2","2018-03-29","[1,3]","positive",5.76725259498697,5.77761355476788,0.040931147783069
"3","2018-03-29","(3,7]","negative",7.16944696572562,7.0683533163343,0.191364132538059
"4","2018-03-29","(3,7]","positive",6.40959999830455,6.43642503692866,0.383223584926606
"5","2018-03-29","(7,20]","negative",5.53994746567209,5.80949898195387,0.623490112310485
"6","2018-03-29","(7,20]","positive",5.37030685099276,5.73261121476662,0.899898941372688
"7","2018-03-29","(20,60]","negative",9.67858720170478,9.46038388834571,0.646578735357407
"8","2018-03-29","(20,60]","positive",9.29897613094988,8.98826539135077,0.90363474991272
"9","2018-04-04","[1,3]","negative",4.7153809492866,4.72241513620284,0.134429999336611
"10","2018-04-04","(3,7]","negative",5.7393457454658,5.76236554760365,0.495578241855791
"11","2018-04-04","(7,20]","negative",8.03018818769039,7.87246106600601,0.570622949863585
"12","2018-04-05","[1,3]","negative",8.64579922215932,8.68050133199726,0.176549591136481
"13","2018-04-05","[1,3]","positive",1.51707284663247,2.14168511827107,1.86088250958654
"14","2018-04-05","(3,7]","negative",9.72478878812128,9.67352984471831,0.307045146078324
"15","2018-04-05","(3,7]","positive",9.76490034368124,9.56275313574219,1.74003997840884
"16","2018-04-05","(7,20]","negative",12.3486783284463,13.8842954898908,3.84779604967191
"17","2018-04-05","(7,20]","positive",12.7885333111961,14.1530068038101,2.56783690988419
"18","2018-04-05","(20,60]","negative",33.3501588050236,32.5459713266677,4.78854329581053
"19","2018-04-05","(20,60]","positive",32.8135521823538,31.5570063584802,5.02331599421049
"20","2018-04-12","[1,3]","negative",5.77584061191388,5.77288852765804,0.0105469267419589
"21","2018-04-12","(3,7]","negative",6.87615005687546,6.72367355618927,0.648990942323197
"22","2018-04-12","(7,20]","negative",7.51718034341327,7.50859661415628,0.0267997113119372
"23","2018-04-15","[1,3]","negative",2.27795407337643,2.28338954177103,0.0177455624110316
"24","2018-04-15","[1,3]","positive",1.70485189949254,1.7076643444203,0.00981287969652719
"25","2018-04-15","(3,7]","negative",2.396142934987,2.38692211217736,0.0215043985091825
"26","2018-04-15","(3,7]","positive",1.74850511375617,1.74586138161089,0.00722507743613848
"27","2018-05-10","[1,3]","negative",4.5150227629116,4.53547231804913,0.12761972866441
"28","2018-05-10","[1,3]","positive",5.72420781898759,5.73242756145968,0.0744419375425635
"29","2018-05-10","(3,7]","negative",5.31096936767577,5.28736399646909,0.262282620279199
"30","2018-05-10","(3,7]","positive",6.3666754906515,6.42132331905215,0.382403565469615
"31","2018-05-10","(7,20]","negative",7.57518959118034,7.75292876434027,1.45932597760468
"32","2018-05-10","(7,20]","positive",8.47479159531551,8.44927484904573,0.690450299668241
