Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2017,6,1,0,0,0,4193.33
2017,6,1,0,10,0,4010.89
2017,6,1,0,20,0,3639.32
2017,6,1,0,30,0,3608.2
2017,6,1,0,40,0,3438.82
2017,6,1,0,50,0,3604.3
2017,6,1,1,0,0,3595.55
2017,6,1,1,10,0,3542.11
2017,6,1,1,20,0,3569.66
2017,6,1,1,30,0,3458.35
2017,6,1,1,40,0,3526.66
2017,6,1,1,50,0,3289.73
2017,6,1,2,0,0,3326.37
2017,6,1,2,10,0,3377.44
2017,6,1,2,20,0,3273.25
2017,6,1,2,30,0,3273.36
2017,6,1,2,40,0,3332.62
2017,6,1,2,50,0,3316.28
2017,6,1,3,0,0,3275.03
2017,6,1,3,10,0,3114.23
2017,6,1,3,20,0,3165.4
2017,6,1,3,30,0,2890.38
2017,6,1,3,40,0,3141.51
2017,6,1,3,50,0,2792.04
2017,6,1,4,0,0,2761.26
2017,6,1,4,10,0,3005.1
2017,6,1,4,20,0,2966.46
2017,6,1,4,30,0,3026.95
2017,6,1,4,40,0,2930.09
2017,6,1,4,50,0,2803.53
2017,6,1,5,0,0,2832.93
2017,6,1,5,10,0,2716.85
2017,6,1,5,20,0,2641.63
2017,6,1,5,30,0,2524.37
2017,6,1,5,40,0,2333.53
2017,6,1,5,50,0,2146.1
2017,6,1,6,0,0,2132.24
2017,6,1,6,10,0,1910.29
2017,6,1,6,20,0,1953.13
2017,6,1,6,30,0,1986.51
2017,6,1,6,40,0,1906.9
2017,6,1,6,50,0,1946.27
2017,6,1,7,0,0,2100.08
2017,6,1,7,10,0,2226.73
2017,6,1,7,20,0,2466.19
2017,6,1,7,30,0,2433.61
2017,6,1,7,40,0,2533.23
2017,6,1,7,50,0,2608.39
2017,6,1,8,0,0,2772.31
2017,6,1,8,10,0,2868.85
2017,6,1,8,20,0,2771.14
2017,6,1,8,30,0,2869.45
2017,6,1,8,40,0,2974.73
2017,6,1,8,50,0,2996.85
2017,6,1,9,0,0,3362.34
2017,6,1,9,10,0,3254.59
2017,6,1,9,20,0,3592.95
2017,6,1,9,30,0,3885.46
2017,6,1,9,40,0,3079.36
2017,6,1,9,50,0,3138.8
2017,6,1,10,0,0,3413.01
2017,6,1,10,10,0,4664.93
2017,6,1,10,20,0,3442.26
2017,6,1,10,30,0,3029.09
2017,6,1,10,40,0,3315.33
2017,6,1,10,50,0,3096.21
2017,6,1,11,0,0,2602.03
2017,6,1,11,10,0,2398.46
2017,6,1,11,20,0,2812.84
2017,6,1,11,30,0,2954.77
2017,6,1,11,40,0,2827.3
2017,6,1,11,50,0,3225.18
2017,6,1,12,0,0,3718.13
2017,6,1,12,10,0,3424.8
2017,6,1,12,20,0,3818.57
2017,6,1,12,30,0,1927.92
2017,6,1,12,40,0,1810.0
2017,6,1,12,50,0,1861.72
2017,6,1,13,0,0,2012.3
2017,6,1,13,10,0,1692.77
2017,6,1,13,20,0,1622.92
2017,6,1,13,30,0,1597.54
2017,6,1,13,40,0,1690.22
2017,6,1,13,50,0,1684.51
2017,6,1,14,0,0,1782.58
2017,6,1,14,10,0,1771.59
2017,6,1,14,20,0,1825.51
2017,6,1,14,30,0,1798.56
2017,6,1,14,40,0,2024.35
2017,6,1,14,50,0,2263.12
2017,6,1,15,0,0,2286.97
2017,6,1,15,10,0,2704.23
2017,6,1,15,20,0,2755.12
2017,6,1,15,30,0,2854.21
2017,6,1,15,40,0,3471.79
2017,6,1,15,50,0,3775.11
2017,6,1,16,0,0,4077.18
2017,6,1,16,10,0,4138.02
2017,6,1,16,20,0,4235.94
2017,6,1,16,30,0,3720.13
2017,6,1,16,40,0,3163.33
2017,6,1,16,50,0,3197.24
2017,6,1,17,0,0,2668.34
2017,6,1,17,10,0,1865.55
2017,6,1,17,20,0,1895.14
2017,6,1,17,30,0,1788.14
2017,6,1,17,40,0,1712.48
2017,6,1,17,50,0,1830.32
2017,6,1,18,0,0,1893.73
2017,6,1,18,10,0,1707.65
2017,6,1,18,20,0,1707.18
2017,6,1,18,30,0,1737.8
2017,6,1,18,40,0,1709.32
2017,6,1,18,50,0,1827.33
2017,6,1,19,0,0,1925.76
2017,6,1,19,10,0,1803.46
2017,6,1,19,20,0,1952.14
2017,6,1,19,30,0,2062.05
2017,6,1,19,40,0,1901.55
2017,6,1,19,50,0,1962.24
2017,6,1,20,0,0,2037.44
2017,6,1,20,10,0,2008.55
2017,6,1,20,20,0,1946.72
2017,6,1,20,30,0,1938.25
2017,6,1,20,40,0,1845.78
2017,6,1,20,50,0,1707.12
2017,6,1,21,0,0,1610.67
2017,6,1,21,10,0,1554.6
2017,6,1,21,20,0,1488.49
2017,6,1,21,30,0,1450.73
2017,6,1,21,40,0,1616.41
2017,6,1,21,50,0,1572.38
2017,6,1,22,0,0,1638.78
2017,6,1,22,10,0,1694.92
2017,6,1,22,20,0,1737.95
2017,6,1,22,30,0,1594.62
2017,6,1,22,40,0,1651.17
2017,6,1,22,50,0,1581.62
2017,6,1,23,0,0,1503.78
2017,6,1,23,10,0,1679.7
2017,6,1,23,20,0,1657.8
2017,6,1,23,30,0,1651.46
2017,6,1,23,40,0,1695.52
2017,6,1,23,50,0,1590.15
2017,6,2,0,0,0,1574.67
2017,6,2,0,10,0,1679.98
2017,6,2,0,20,0,1655.86
2017,6,2,0,30,0,1752.61
2017,6,2,0,40,0,1684.52
2017,6,2,0,50,0,1747.43
2017,6,2,1,0,0,1863.55
2017,6,2,1,10,0,1782.05
2017,6,2,1,20,0,1818.42
2017,6,2,1,30,0,1848.76
